<persName ref=""people.xml#bru06"">Mad. Le Brun</persName>	letter-03720	
<persName ref=""people.xml#bru06"">Madame Le Brun</persName>	letter-03716	
<persName ref=""people.xml#bud01"">Михайлу Власьевичу Будлянскому</persName>	letter-01270	
<persName ref=""people.xml#bud02"">Budberg</persName>	letter-03715	
<persName ref=""people.xml#bud02"">Budberg</persName>	letter-03716	
<persName ref=""people.xml#bud02"">Budberg</persName>	letter-03728	
<persName ref=""people.xml#bue01"">Bueil</persName>	letter-03634	
<persName ref=""people.xml#bue01"">Bueil</persName>	letter-03636	
<persName ref=""people.xml#bue01"">Emilie de Belsunce</persName>	letter-03627	
<persName ref=""people.xml#bue01"">Emilie</persName>	letter-03594	
<persName ref=""people.xml#bue01"">Emilie</persName>	letter-03602	
<persName ref=""people.xml#bue01"">Emilie</persName>	letter-03608	
<persName ref=""people.xml#bue01"">Emilie</persName>	letter-03620	
<persName ref=""people.xml#bue01"">Emilie</persName>	letter-03622	
<persName ref=""people.xml#bue01"">Emilie</persName>	letter-03625	
<persName ref=""people.xml#bue01"">Emilie</persName>	letter-03627	
<persName ref=""people.xml#bue01"">Emilie</persName>	letter-03628	
<persName ref=""people.xml#bue01"">Mad. de Bueil</persName>	letter-03636	
<persName ref=""people.xml#bue01"">Mad. du Bueil</persName>	letter-03669	
<persName ref=""people.xml#bue01"">Mad. du Bueil</persName>	letter-03708	
<persName ref=""people.xml#bue01"">Mad: du Bueil</persName>	letter-03644	
<persName ref=""people.xml#bue01"">Madame de Bueil</persName>	letter-03662	
<persName ref=""people.xml#bue01"">Madame du Bueil</persName>	letter-03689	
<persName ref=""people.xml#bue01"">comtesse de Bueil</persName>	letter-03650	
<persName ref=""people.xml#bue01"">comtesse de Bueil</persName>	letter-03666	
<persName ref=""people.xml#bue01"">du Bueil</persName>	letter-03672	
<persName ref=""people.xml#bue01"">mad. du Bueil</persName>	letter-03682	
<persName ref=""people.xml#bue01"">madame de Bueil</persName>	letter-03704	
<persName ref=""people.xml#bue01"">madame du Bueil</persName>	letter-03646	
<persName ref=""people.xml#bue01"">madame du Bueil</persName>	letter-03662	
<persName ref=""people.xml#bue01"">madame du Bueil</persName>	letter-03677	
<persName ref=""people.xml#bue01"">madame du Bueil</persName>	letter-03689	
<persName ref=""people.xml#bue01"">madame du Bueil</persName>	letter-03725	
<persName ref=""people.xml#bue02"">M. du Bueil</persName>	letter-03662	
<persName ref=""people.xml#bue02"">baron de Breteuil</persName>	letter-03654	
<persName ref=""people.xml#bue02"">comte de Bueil</persName>	letter-03654	
<persName ref=""people.xml#bue02"">comte de Bueil</persName>	letter-03728	
<persName ref=""people.xml#bue02"">comte de Bueil</persName>	letter-03732	
<persName ref=""people.xml#bue02"">comte</persName>	letter-03634	
<persName ref=""people.xml#buf01"">M. le comte de Buffon</persName>	letter-03576	
<persName ref=""people.xml#buf02"">Buffon</persName>	letter-03618	
<persName ref=""people.xml#buf02"">M. de Buffo</persName>	letter-03601	
<persName ref=""people.xml#buf02"">M. de Buffon</persName>	letter-03586	
<persName ref=""people.xml#buf02"">M. de Buffon</persName>	letter-03590	
<persName ref=""people.xml#buf02"">M. de Buffon</persName>	letter-03593	
<persName ref=""people.xml#buf02"">M. de Buffon</persName>	letter-03595	
<persName ref=""people.xml#buf02"">M. de Buffon</persName>	letter-03650	
<persName ref=""people.xml#buf02"">M. de Buffon</persName>	letter-03662	
<persName ref=""people.xml#buf02"">M. le comte de Buffon père</persName>	letter-03600	
<persName ref=""people.xml#buf03"">fils de M. de Buffon</persName>	letter-03595	
<persName ref=""people.xml#buh01"">Bühler</persName>	letter-03654	
<persName ref=""people.xml#bul01"">Булгакова</persName>	letter-00082	
<persName ref=""people.xml#bul01"">Булгакова</persName>	letter-00088	
<persName ref=""people.xml#bul01"">Булгакова</persName>	letter-00089	
<persName ref=""people.xml#bul01"">Булгакова</persName>	letter-00845	
<persName ref=""people.xml#bur01"">général Bourgoigne</persName>	letter-03001	
<persName ref=""people.xml#bur02"">Burigni</persName>	letter-03600	
<persName ref=""people.xml#bur03"">Burke</persName>	letter-03669	
<persName ref=""people.xml#bur03"">Edmund Burke</persName>	letter-03669	
<persName ref=""people.xml#bus01"">Buscher</persName>	letter-03642	
<persName ref=""people.xml#bus01"">Busse</persName>	letter-03695	
<persName ref=""people.xml#bus01"">Du Buscher</persName>	letter-03642	
<persName ref=""people.xml#bus01"">M. Busch</persName>	letter-03593	
<persName ref=""people.xml#bus02"">Buscher</persName>	letter-03662	
<persName ref=""people.xml#bus04"">Busse</persName>	letter-03692	
<persName ref=""people.xml#bus04"">Busse</persName>	letter-03694	
<persName ref=""people.xml#bux01"">C-te de Bux</persName>	letter-02936	
<persName ref=""people.xml#cae01"">César</persName>	letter-03594	
<persName ref=""people.xml#cae01"">Jules César</persName>	letter-03679	
<persName ref=""people.xml#cag01"">Cagliostro</persName>	letter-03587	
<persName ref=""people.xml#cag01"">Cagliostro</persName>	letter-03621	
<persName ref=""people.xml#cag01"">Cagliostro</persName>	letter-03625	
<persName ref=""people.xml#cag01"">Cagliostro</persName"
